Work code ,Work ,Start,End
1,Site clearence,17 April 2025,18 April 2025
2,Setting out,19 April 2025,26 April 2025
3,Earth work excavation for footing,5 May 2025,7 May 2025
4,PCC bed laying Foundation,9 May 2025,9 May 2025
5,Curing period,10 May 2025,12 May 2025
6,RRM construction below G.L,14 May 2025,18 May 2025
7,Set out of basement,22 May 2025,23 May 2025
8,Random rubble masonry plinth construction above G.L,26 May 2025,5 June 2025
9,Curing period,6 June 2025,9 June 2025
10,Earth filling ,2 July 2025,1 August 2025
11,Belt shuttering,15 August 2025,19 August 2025
12,Belt concreting,20 August 2025,20 August 2025
13,Shutter removal,26 August 2025,4 September 2025
14,Earth filling ,11 September 2025,13 September 2025
15,Plain Cement Concrete floor bed laying ,16 September 2025,17 September 2025
16,Curing period,18 September 2025,21 September 2025
17,GF Wall construction,22 September 2025,29 October 2025
18,Curing peroid,30 October 2025,31 October 2025
19,Lintel steel work and form work construction,5 November 2025,8 November 2025
20,Lintel concrete work,8 November 2025,8 November 2025
21,Curing period,9 November 2025,10 November 2025
22,Side shutter removal,11 November 2025,12 November 2025
23,Brick work,13 November 2025,21 November 2025
24,Lintel shutter removal and roof shuttering start,,6 December 2025
25,GF Roof concreting,7 December 2025,7 December 2025
26,Curing period,8 December 2025,13 December 2025
27,Brick work,15 December 2025,31 December 2025
28,curing,1 January 2026,3 January 2026
29,lintel shuttering,5 January 2026,6 January 2026
30,lintel concreting,7 January 2026,7 January 2026
31,lintel deshuttering and curing,8 January 2026,8 January 2026
32,Brick work,12 January 2026,16 January 2026
33,Curing,17 January 2026,18 January 2026
34,Roof cocrete formwork,20 January 2026,28 January 2026
35,Roof cocrete,29 January 2026,29 January 2026
37,Curing period,29 January 2026,12 February 2026
38,Kitchen wash area slab steel work and formwork construction,,
39,"Kitchen,wash area Slab concrete work",,
40,Curing period,,
41,Staircase steel work and formwork construction,,
42,Staircase concrete work,,
43,Curing period,,
44,Beams for Patio and Pergola,,
45,Beams and Columns for Verandah Handrails,,
46,Square pattern – For Verandah Handrails,,
47,Columns for Porch,,
48,RCC roof slab steel work and formwork,,
49,RCC roof slab concrete work,,
50,curing period,,
51,"Toughened Glass Roof for Pergola,and Patio",,
52,Wall construction,,
53,curing period,,
54,Lintel Steelwork and formwork,,
55,Lintel concrete work,,
56,curing period,,
57,sunshade steel and formwork construction,,
58,sunshade concrete work,,
59,curing period,,
60,Structural Beam steel and formwork construction work,,
61,Structural Beam concrete work,,
62,curing period,,
63,First floor rcc roof slab steel work and form work construction,,
64,First floor rcc roof slab cocrete work,,
65,curing period,,
66,First floor tiled roof,,
67,Door and Window Frames fixing,,
68,Electrical works,,
69,Installation of conduit and wiring in building ,,
70,Motor pump installing,,
71,Installation of Solar panels,,
72,Mechanical works,,
73,AC units installation,,
74,Plumbing works,,
75,Installation of pipes inside the building connecting from water tank outside,,
76,Earth excavation and installation of pipes to different points,,
77,"External drainage works include soak pit ,septic tank etc.",,
78,Installation of water tank,,
79,Rain water harvesting RCC chamber and its connections construction,,
80,GF Floor Plastering,,
81,External Wall Plastering ,,
82,Internal Wall Plastering ,,
83,Tile work,,
84,Floor tiles paving in other rooms,,
85,Floor tiles paving in Bathrooms,,
86,Wall tile paving in bathroom,,
87,Floor tile in carporch and varendah,,
88,False ceiling,,
89,Inside False ceiling work ,,
90,Porch False ceiling works ,,
91,Painting,,
92,Internal wall Painting ,,
93,External wall Painting ,,
94,Fixed furniture,,
95,Kitchen cabinets,,
96,Storage cabinets,,
97,Bedroom wardrobe,,
98,Loose furniture,,
99,Door installation,,
100,Window and ventilation installation,,
101,"Kitchen installations like zink, tap etc.",,
102,"Bathroom installations like WC,shower ,tap etc.",,
103,Electrical fixtures installation,,
104,Compound wall and gate construction ,,
105,Wicket gate,,
98,Plastering both sides ,,
99,Painting both sides,,
100,Pavement interlocking,,
